
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8E:49:62:EA:35:57, 2024-05-17 09:03:41, 2024-05-17 09:04:34,  6,  65, WPA2, CCMP, PSK, -87,       28,        0,   0.  0.  0.  0,   0, , 
10:F0:68:99:86:A9, 2024-05-17 09:03:35, 2024-05-17 09:04:36,  6, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,   3, DTI, 
10:F0:68:19:86:A9, 2024-05-17 09:04:34, 2024-05-17 09:04:34,  6, 130, OPN, ,   , -91,        0,        0,   0.  0.  0.  0,   7, Visitas, 
18:35:D1:48:EB:39, 2024-05-17 09:04:00, 2024-05-17 09:04:24,  6, 130, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  11, VTR-5376275, 
10:F0:68:59:86:A8, 2024-05-17 09:03:34, 2024-05-17 09:03:34,  6, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  15, Servicio Tablet, 
44:48:B9:C8:9C:D0, 2024-05-17 09:03:35, 2024-05-17 09:03:35,  6, 130, WPA2, CCMP, PSK, -90,        0,        0,   0.  0.  0.  0,   5, Diana, 
EA:65:D2:55:45:A3, 2024-05-17 09:03:54, 2024-05-17 09:04:14,  6, 180, WPA2, CCMP, PSK, -87,        1,        1,   0.  0.  0.  0,   5, Redmi, 
16:64:87:23:26:AA, 2024-05-17 09:03:40, 2024-05-17 09:04:17,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
26:96:82:26:A7:5E, 2024-05-17 09:04:20, 2024-05-17 09:04:30,  6, 130, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  12, Martín 2,4g, 
E6:AB:89:1C:85:38, 2024-05-17 09:03:33, 2024-05-17 09:04:58,  6,  -1, , ,   , -95,        0,        0,   0.  0.  0.  0,   0, , 
84:AA:9C:3D:86:83, 2024-05-17 09:04:31, 2024-05-17 09:04:39,  6, 130, WPA2, CCMP, PSK, -93,        1,        0,   0.  0.  0.  0,   6, Rosita, 
14:51:20:57:6C:ED, 2024-05-17 09:03:34, 2024-05-17 09:04:48,  6, 270, WPA2, CCMP, PSK, -92,       32,        0,   0.  0.  0.  0,   0, , 
10:F0:68:D9:86:A8, 2024-05-17 09:03:35, 2024-05-17 09:04:52,  6, 130, WPA2, CCMP, PSK, -92,        0,       50,   0.  0.  0.  0,  13, Wifi_Ucentral, 
82:45:6B:0D:79:DA, 2024-05-17 09:03:34, 2024-05-17 09:04:59,  6, 130, WPA2, CCMP, PSK, -89,       29,       14,   0.  0.  0.  0,  15, , 
10:F0:68:19:86:A8, 2024-05-17 09:04:12, 2024-05-17 09:04:39,  6, 130, WPA2, CCMP, PSK, -90,        0,        0,   0.  0.  0.  0,   9, WiFi UCEN, 
F0:61:C0:E8:2F:86, 2024-05-17 09:04:43, 2024-05-17 09:04:43,  6, 130, WPA3 WPA2, CCMP, OWE, -90,        1,        0,   0.  0.  0.  0,   0, , 
B4:1C:30:B5:EA:07, 2024-05-17 09:03:33, 2024-05-17 09:04:56,  6, 130, WPA2, CCMP, PSK, -90,       13,        0,   0.  0.  0.  0,  10, ZTE_B5EA07, 
F8:3E:95:7E:EF:14, 2024-05-17 09:04:14, 2024-05-17 09:04:46,  6, 360, WPA2 WPA, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  16, HUAWEI-2.4G-4Uhs, 
14:51:20:57:6C:E8, 2024-05-17 09:03:34, 2024-05-17 09:04:48,  6, 270, WPA2 WPA, CCMP, PSK, -89,       39,        7,   0.  0.  0.  0,   7, DASF904, 
F8:3E:95:7E:EF:17, 2024-05-17 09:03:35, 2024-05-17 09:04:37,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,   0, , 
10:F0:68:59:86:A9, 2024-05-17 09:04:33, 2024-05-17 09:04:38,  6, 130, WPA2, CCMP, PSK, -88,        0,        0,   0.  0.  0.  0,  15, WiFi UCEN Admin, 
F8:5B:3B:4E:C0:53, 2024-05-17 09:03:34, 2024-05-17 09:04:57,  6, 130, WPA2, CCMP, PSK, -89,      106,        1,   0.  0.  0.  0,   8, Xomi Pia, 
7C:00:4D:97:BA:74, 2024-05-17 09:03:34, 2024-05-17 09:04:59,  6, 400, WPA2 WPA, CCMP, PSK, -84,      103,        9,   0.  0.  0.  0,   9, DEPTO 107, 
7C:00:4D:97:BA:77, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -86,      179,        4,   0.  0.  0.  0,   0, , 
48:D3:43:33:B9:D9, 2024-05-17 09:03:37, 2024-05-17 09:04:55,  6, 130, WPA2, CCMP, PSK, -86,       27,        0,   0.  0.  0.  0,  11, VTR-2078881, 
78:29:ED:B7:CB:02, 2024-05-17 09:03:44, 2024-05-17 09:04:52,  6, 130, WPA2, CCMP, PSK, -86,        8,        0,   0.  0.  0.  0,  12, Mixalis 2,4g, 
E6:AB:89:B4:8F:FE, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 130, WPA2, CCMP, PSK, -86,      188,        0,   0.  0.  0.  0,   6, Hector, 
14:CC:20:E8:EB:35, 2024-05-17 09:03:35, 2024-05-17 09:04:50,  8, 270, WPA2 WPA, CCMP TKIP, PSK, -85,       11,        5,   0.  0.  0.  0,  11, Jpablov_EXT, 
44:48:B9:DA:85:C8, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 130, WPA2, CCMP, PSK, -86,      119,        0,   0.  0.  0.  0,  21, movistar2,4GHZ_DA85C8, 
58:EF:68:47:59:C8, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 130, OPN, ,   , -72,      564,        0,   0.  0.  0.  0,  27, cableadaTelematica-invitado, 
58:EF:68:47:59:C6, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -73,      574,        0,   0.  0.  0.  0,  18, cableadaTelematica, 
96:EC:A2:EE:6B:1F, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6, 130, WPA2, CCMP, PSK, -63,      153,       16,   0.  0.  0.  0,  15, , 
B0:48:7A:D2:DD:74, 2024-05-17 09:03:33, 2024-05-17 09:04:59,  6,  54, WEP, WEP, SKA, -52,      620,    31368,   0.  0.  0.  0,   3, WEP, 
A4:6D:A4:4B:BE:D4, 2024-05-17 09:03:43, 2024-05-17 09:04:43,  6,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
C6:BC:FB:43:F2:E8, 2024-05-17 09:03:48, 2024-05-17 09:04:50,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:28:C9:D3:5D:44, 2024-05-17 09:03:52, 2024-05-17 09:03:56,  -1,        5, 14:CC:20:E8:EB:35,
40:1A:58:A0:15:2D, 2024-05-17 09:03:40, 2024-05-17 09:03:41,  -1,        2, 10:F0:68:D9:86:A8,
A6:E8:F2:94:43:8C, 2024-05-17 09:03:41, 2024-05-17 09:03:41, -54,        3, (not associated) ,
EE:C4:69:19:C3:C0, 2024-05-17 09:03:34, 2024-05-17 09:03:34, -87,        1, (not associated) ,
CA:A9:8C:2C:BC:9C, 2024-05-17 09:03:33, 2024-05-17 09:03:33, -65,        1, (not associated) ,
26:C6:8A:BB:BE:44, 2024-05-17 09:03:45, 2024-05-17 09:03:45, -86,        2, (not associated) ,
C6:12:51:D2:54:6B, 2024-05-17 09:03:49, 2024-05-17 09:03:49, -80,        2, (not associated) ,
2E:F6:8B:4B:FA:10, 2024-05-17 09:03:38, 2024-05-17 09:03:45, -54,       11, (not associated) ,
B8:BC:5B:FB:C3:0D, 2024-05-17 09:03:44, 2024-05-17 09:04:38, -91,        4, (not associated) ,
12:27:08:D7:98:AE, 2024-05-17 09:03:40, 2024-05-17 09:04:17, -90,        5, 16:64:87:23:26:AA,
1C:F2:9A:3B:F9:19, 2024-05-17 09:03:33, 2024-05-17 09:04:58, -91,      293, E6:AB:89:1C:85:38,
64:E0:03:1B:4D:1B, 2024-05-17 09:03:48, 2024-05-17 09:04:50, -89,       42, C6:BC:FB:43:F2:E8,
44:CB:8B:B5:BB:F2, 2024-05-17 09:03:35, 2024-05-17 09:04:40, -89,        8, E6:AB:89:1C:85:38,
7E:A0:82:98:68:07, 2024-05-17 09:04:15, 2024-05-17 09:04:15, -87,        3, (not associated) ,
8C:49:62:EA:35:57, 2024-05-17 09:03:43, 2024-05-17 09:04:43, -84,        3, A4:6D:A4:4B:BE:D4,
BA:D8:85:6F:0B:98, 2024-05-17 09:04:11, 2024-05-17 09:04:11, -84,        1, (not associated) ,
56:0A:D7:4E:31:7D, 2024-05-17 09:04:51, 2024-05-17 09:04:51, -84,        2, (not associated) ,
12:CF:47:F8:F2:54, 2024-05-17 09:04:01, 2024-05-17 09:04:01, -83,        1, (not associated) ,
A2:92:42:8A:E4:9F, 2024-05-17 09:04:11, 2024-05-17 09:04:11, -83,        1, (not associated) ,
06:E6:72:FA:B4:91, 2024-05-17 09:04:11, 2024-05-17 09:04:11, -83,        1, (not associated) ,
50:23:6D:EC:A3:A7, 2024-05-17 09:04:44, 2024-05-17 09:04:44, -82,        1, B4:1C:30:B5:EA:07,
30:32:35:6A:9B:50, 2024-05-17 09:03:45, 2024-05-17 09:04:46, -81,       18, 82:45:6B:0D:79:DA,
B2:1B:73:46:21:F1, 2024-05-17 09:03:42, 2024-05-17 09:04:02, -80,        3, (not associated) ,VIP-UDP
3A:B5:ED:74:82:91, 2024-05-17 09:04:32, 2024-05-17 09:04:32, -80,        5, (not associated) ,jesus@@@,leo
D0:39:57:12:F7:B3, 2024-05-17 09:03:48, 2024-05-17 09:04:48, -78,        4, (not associated) ,
D0:39:57:0E:92:07, 2024-05-17 09:04:17, 2024-05-17 09:04:17, -77,        1, (not associated) ,
32:58:F0:4E:94:14, 2024-05-17 09:04:31, 2024-05-17 09:04:47, -77,       21, (not associated) ,Wifi-sec
D8:3A:DD:43:2E:65, 2024-05-17 09:04:23, 2024-05-17 09:04:23, -74,        2, (not associated) ,
14:2D:27:03:2D:A9, 2024-05-17 09:03:40, 2024-05-17 09:04:58, -75,       17, (not associated) ,Hybrid Rooms
82:CC:A8:DF:D7:1E, 2024-05-17 09:03:42, 2024-05-17 09:04:35, -70,       25, (not associated) ,
76:5A:6D:B1:AC:25, 2024-05-17 09:04:53, 2024-05-17 09:04:53, -70,        3, (not associated) ,
CA:83:E1:9D:8F:D6, 2024-05-17 09:03:47, 2024-05-17 09:04:24, -69,        3, (not associated) ,
22:61:9E:08:A2:9C, 2024-05-17 09:04:08, 2024-05-17 09:04:36, -67,        6, (not associated) ,_owetm_Alumnos-UDP1993294148
F2:6B:60:22:53:C9, 2024-05-17 09:04:12, 2024-05-17 09:04:12, -66,        1, (not associated) ,
1C:36:BB:25:54:7E, 2024-05-17 09:03:33, 2024-05-17 09:04:58, -65,      288, 96:EC:A2:EE:6B:1F,
AE:9D:1C:FC:02:6E, 2024-05-17 09:04:10, 2024-05-17 09:04:10, -64,        2, (not associated) ,
22:82:B5:0C:8F:54, 2024-05-17 09:04:10, 2024-05-17 09:04:10, -60,        2, (not associated) ,
EE:3A:34:14:71:C5, 2024-05-17 09:04:43, 2024-05-17 09:04:43, -59,        4, (not associated) ,CloePepsi5G
86:9B:FA:40:65:BF, 2024-05-17 09:04:35, 2024-05-17 09:04:35, -58,        2, (not associated) ,
64:66:B3:1E:7A:4A, 2024-05-17 09:04:39, 2024-05-17 09:04:39, -58,        3, (not associated) ,
4E:8A:6C:C5:22:A2, 2024-05-17 09:04:36, 2024-05-17 09:04:36, -56,        6, (not associated) ,
8A:86:68:D2:C0:9A, 2024-05-17 09:03:55, 2024-05-17 09:04:05, -53,        4, (not associated) ,_owetm_Alumnos-UDP1993294148
3A:02:18:3B:C6:84, 2024-05-17 09:03:35, 2024-05-17 09:04:37, -50,        7, (not associated) ,
10:27:F5:51:8E:C3, 2024-05-17 09:03:33, 2024-05-17 09:04:59, -52,    50863, B0:48:7A:D2:DD:74,
5C:BA:EF:4D:35:61, 2024-05-17 09:03:33, 2024-05-17 09:04:59, -50,     2070, B0:48:7A:D2:DD:74,
64:66:B3:1E:61:B2, 2024-05-17 09:03:49, 2024-05-17 09:04:58, -59,       82, B0:48:7A:D2:DD:74,WEP
A0:78:17:74:C9:7E, 2024-05-17 09:04:32, 2024-05-17 09:04:32, -47,        4, (not associated) ,Alumnos-UDP
64:66:B3:1D:76:F6, 2024-05-17 09:04:53, 2024-05-17 09:04:54, -43,        2, (not associated) ,
40:1A:58:9F:A9:A1, 2024-05-17 09:03:41, 2024-05-17 09:04:52,  -1,       48, 10:F0:68:D9:86:A8,
4E:BA:4A:12:15:09, 2024-05-17 09:04:14, 2024-05-17 09:04:14,  -1,        1, EA:65:D2:55:45:A3,
8C:EA:48:12:3F:25, 2024-05-17 09:04:31, 2024-05-17 09:04:41,  -1,        2, F8:5B:3B:4E:C0:53,
66:4B:01:13:14:98, 2024-05-17 09:04:43, 2024-05-17 09:04:43,  -1,        1, 78:29:ED:B7:CB:02,
82:CC:A8:01:FD:7E, 2024-05-17 09:04:57, 2024-05-17 09:04:57, -36,        1, (not associated) ,

